Name                                                             Stmts   Miss  Cover
------------------------------------------------------------------------------------
pkrcomponents/__init__.py                                            0      0   100%
pkrcomponents/components/__init__.py                                 0      0   100%
pkrcomponents/components/actions/__init__.py                         0      0   100%
pkrcomponents/components/actions/action.py                         106      2    98%
pkrcomponents/components/actions/action_move.py                     32      0   100%
pkrcomponents/components/actions/actions_history.py                 14      0   100%
pkrcomponents/components/actions/actions_sequence.py                21      3    86%
pkrcomponents/components/actions/blind_type.py                      11      0   100%
pkrcomponents/components/actions/posting.py                         31      0   100%
pkrcomponents/components/actions/street.py                          22      0   100%
pkrcomponents/components/cards/__init__.py                           0      0   100%
pkrcomponents/components/cards/bitcard.py                           70      0   100%
pkrcomponents/components/cards/board.py                             59      0   100%
pkrcomponents/components/cards/card.py                              59      0   100%
pkrcomponents/components/cards/combo.py                            107      0   100%
pkrcomponents/components/cards/deck.py                              26      0   100%
pkrcomponents/components/cards/evaluator.py                         28      0   100%
pkrcomponents/components/cards/flop.py                              75      0   100%
pkrcomponents/components/cards/hand.py                             106      0   100%
pkrcomponents/components/cards/lookup_table.py                     112      0   100%
pkrcomponents/components/cards/rank.py                              47      0   100%
pkrcomponents/components/cards/shape.py                             14      0   100%
pkrcomponents/components/cards/suit.py                              28      0   100%
pkrcomponents/components/players/__init__.py                         0      0   100%
pkrcomponents/components/players/datafields/__init__.py              0      0   100%
pkrcomponents/components/players/datafields/general.py              22      1    95%
pkrcomponents/components/players/datafields/postflop.py             53      0   100%
pkrcomponents/components/players/datafields/preflop.py              55      0   100%
pkrcomponents/components/players/player_hand_stats.py               20      1    95%
pkrcomponents/components/players/players.py                        155     15    90%
pkrcomponents/components/players/position.py                        62      0   100%
pkrcomponents/components/players/positions_map.py                   20      0   100%
pkrcomponents/components/players/street_hand_stats/__init__.py       0      0   100%
pkrcomponents/components/players/street_hand_stats/base.py          21      9    57%
pkrcomponents/components/players/street_hand_stats/general.py       35      3    91%
pkrcomponents/components/players/street_hand_stats/postflop.py     146     17    88%
pkrcomponents/components/players/street_hand_stats/preflop.py      156     10    94%
pkrcomponents/components/players/table_player.py                   284      8    97%
pkrcomponents/components/tables/__init__.py                          0      0   100%
pkrcomponents/components/tables/pot.py                              18      0   100%
pkrcomponents/components/tables/table.py                           340      3    99%
pkrcomponents/components/tournaments/__init__.py                     0      0   100%
pkrcomponents/components/tournaments/buy_in.py                      14      0   100%
pkrcomponents/components/tournaments/level.py                       15      0   100%
pkrcomponents/components/tournaments/levels_structure.py             0      0   100%
pkrcomponents/components/tournaments/payout.py                      37      0   100%
pkrcomponents/components/tournaments/speed.py                       10      0   100%
pkrcomponents/components/tournaments/tournament.py                  59      1    98%
pkrcomponents/components/utils/__init__.py                           0      0   100%
pkrcomponents/components/utils/common.py                            48      0   100%
pkrcomponents/components/utils/constants.py                         34      0   100%
pkrcomponents/components/utils/converters.py                        24      5    79%
pkrcomponents/components/utils/exceptions.py                        39     10    74%
pkrcomponents/components/utils/meta/__init__.py                      0      0   100%
pkrcomponents/components/utils/meta/card_meta.py                    12      0   100%
pkrcomponents/components/utils/meta/combo_meta.py                   11      0   100%
pkrcomponents/components/utils/meta/flop_meta.py                    13      0   100%
pkrcomponents/components/utils/meta/hand_meta.py                    26      0   100%
pkrcomponents/components/utils/meta/positions_map_meta.py           10      0   100%
pkrcomponents/components/utils/validators.py                         7      0   100%
pkrcomponents/converters/__init__.py                                 0      0   100%
pkrcomponents/converters/history_converter/__init__.py               0      0   100%
pkrcomponents/converters/history_converter/abstract.py             258     47    82%
pkrcomponents/converters/history_converter/local.py                 26      5    81%
pkrcomponents/converters/history_converter/s3.py                    24     24     0%
pkrcomponents/converters/runs/__init__.py                            0      0   100%
pkrcomponents/converters/runs/local/__init__.py                      0      0   100%
pkrcomponents/converters/runs/local/convert_histories.py             7      7     0%
pkrcomponents/converters/runs/s3/__init__.py                         0      0   100%
pkrcomponents/converters/runs/s3/convert_histories.py                0      0   100%
pkrcomponents/converters/settings.py                                 6      0   100%
pkrcomponents/converters/summary_converter/__init__.py               0      0   100%
pkrcomponents/converters/summary_converter/abstract.py              70     14    80%
pkrcomponents/converters/summary_converter/local.py                 26      7    73%
pkrcomponents/converters/summary_converter/s3.py                     0      0   100%
pkrcomponents/converters/utils/__init__.py                           0      0   100%
pkrcomponents/converters/utils/exceptions.py                         8      4    50%
------------------------------------------------------------------------------------
TOTAL                                                             3139    196    94%
