name,default,description,type
flag_vpip,False,Whether the player voluntarily put money in the pot,bool
flag_preflop_open_opportunity,False,Whether the player had the opportunity to open preflop,bool
flag_preflop_open,False,Whether the player opened preflop,bool
flag_preflop_first_raise,False,Whether the player made the first raise preflop,bool
flag_preflop_fold,False,Whether the player folded preflop,bool
flag_preflop_limp,False,Whether the player limped preflop,bool
flag_preflop_cold_called,False,Whether the player cold called preflop,bool
flag_preflop_face_raise,False,Whether the player faced a raise preflop,bool
flag_preflop_bet,False,Whether the player bet preflop (Realized at least one raise),bool
flag_preflop_3bet_opportunity,False,Whether the player had the opportunity to 3bet preflop,bool
flag_preflop_3bet,False,Whether the player 3bet preflop,bool
flag_preflop_face_3bet,False,Whether the player faced a 3bet preflop,bool
flag_preflop_4bet_opportunity,False,Whether the player had the opportunity to 4+bet preflop,bool
flag_preflop_4bet,False,Whether the player 4+bet preflop,bool
flag_preflop_face_4bet,False,Whether the player faced a 4+bet preflop,bool
flag_squeeze_opportunity,False,Whether the player had the opportunity to squeeze preflop,bool
flag_squeeze,False,Whether the player squeezed preflop,bool
flag_face_squeeze,False,Whether the player faced a squeeze preflop,bool
flag_steal_opportunity,False,Whether the player had the opportunity to steal preflop,bool
flag_steal_attempt,False,Whether the player attempted to steal preflop,bool
flag_face_steal_attempt,False,Whether the player faced a steal attempt preflop,bool
flag_fold_to_steal_attempt,False,Whether the player folded to a steal attempt preflop,bool
flag_blind_defense,False,Whether the player defended the blinds preflop,bool
flag_open_shove,False,Whether the player open shoved preflop,bool
flag_voluntary_all_in_preflop,False,Whether the player voluntarily went all in preflop,bool
count_preflop_player_raises,0,The number of raises the player made preflop,int
count_preflop_player_calls,0,The number of calls the player made preflop,int
count_faced_limps,0,The number of limps the player faced preflop,int
preflop_actions_sequence,,The sequence of actions the player made preflop,ActionsSequence
amount_preflop_effective_stack,0,The effective stack the player had preflop,float
amount_to_call_facing_preflop_bet,0,The amount the player had to call facing the preflop blinds,float
amount_to_call_facing_preflop_2bet,0,The amount the player had to call facing the preflop 2bet,float
amount_to_call_facing_preflop_3bet,0,The amount the player had to call facing the preflop 3bet,float
amount_to_call_facing_preflop_4bet,0,The amount the player had to call facing the preflop 4bet,float
amount_first_raise_made_preflop,0,The amount the player used on his first raise preflop,float
amount_second_raise_made_preflop,0,The amount the player used on his second raise preflop,float
ratio_to_call_facing_preflop_bet,0,The ratio of the pot the player had to call facing the preflop bet,float
ratio_to_call_facing_preflop_2bet,0,The ratio of the pot the player had to call facing the preflop 2bet,float
ratio_to_call_facing_preflop_3bet,0,The ratio of the pot the player had to call facing the preflop 3bet,float
ratio_to_call_facing_preflop_4bet,0,The ratio of the pot the player had to call facing the preflop 4bet,float
ratio_first_raise_made_preflop,0,The ratio of the pot the player used on his first raise preflop,float
ratio_second_raise_made_preflop,0,The ratio of the pot the player used on his second raise preflop,float
total_preflop_bet_amount,0,The total amount the player bet preflop,float
move_facing_preflop_2bet,,The move the player did when facing a preflop 2bet,ActionMove
move_facing_preflop_3bet,,The move the player did when facing a preflop 3bet,ActionMove
move_facing_preflop_4bet,,The move the player did when facing a preflop 4bet,ActionMove
move_facing_preflop_squeeze,,The move the player did when facing a preflop squeeze,ActionMove
move_facing_preflop_steal_attempt,,The move the player did when facing a preflop steal attempt,ActionMove
flag_saw_flop,False,Whether the player saw the flop,bool
flag_flop_first_to_talk,False,Whether the player was the first to talk on the flop,bool
flag_flop_has_position,False,Whether the player had position on the flop,bool
flag_flop_bet,False,Whether the player bet on the flop,bool
flag_flop_open_opportunity,False,Whether the player had the opportunity to open on the flop,bool
flag_flop_open,False,Whether the player opened on the flop,bool
flag_flop_cbet_opportunity,False,Whether the player had the opportunity to make a continuation bet on the flop,bool
flag_flop_cbet,False,Whether the player made a continuation bet on the flop,bool
flag_flop_face_cbet,False,Whether the player faced a continuation bet on the flop,bool
flag_flop_donk_bet_opportunity,False,Whether the player had the opportunity to make a donk bet on the flop,bool
flag_flop_donk_bet,False,Whether the player made a donk bet on the flop,bool
