name,default,description,type
flag_vpip,False,Whether the player voluntarily put money in the pot,bool
flag_open_opportunity,False,Whether the player had the opportunity to open ,bool
flag_open,False,Whether the player opened ,bool
flag_first_raise,False,Whether the player made the first raise ,bool
flag_fold,False,Whether the player folded ,bool
flag_limp,False,Whether the player limped ,bool
flag_cold_called,False,Whether the player cold called ,bool
flag_raise,False,Whether the player raised ,bool
flag_raise_opportunity,False,Whether the player had the opportunity to raise ,bool
flag_face_raise,False,Whether the player faced a raise ,bool
flag_3bet_opportunity,False,Whether the player had the opportunity to 3bet ,bool
flag_3bet,False,Whether the player 3bet ,bool
flag_face_3bet,False,Whether the player faced a 3bet ,bool
flag_4bet_opportunity,False,Whether the player had the opportunity to 4+bet ,bool
flag_4bet,False,Whether the player 4+bet ,bool
flag_face_4bet,False,Whether the player faced a 4+bet ,bool
flag_squeeze_opportunity,False,Whether the player had the opportunity to squeeze ,bool
flag_squeeze,False,Whether the player squeezed ,bool
flag_face_squeeze,False,Whether the player faced a squeeze ,bool
flag_steal_opportunity,False,Whether the player had the opportunity to steal ,bool
flag_steal_attempt,False,Whether the player attempted to steal ,bool
flag_face_steal_attempt,False,Whether the player faced a steal attempt ,bool
flag_fold_to_steal_attempt,False,Whether the player folded to a steal attempt ,bool
flag_blind_defense_opportunity,False,Whether the player had the opportunity to defend the blinds ,bool
flag_blind_defense,False,Whether the player defended the blinds ,bool
flag_open_shove,False,Whether the player open shoved ,bool
flag_voluntary_all_in,False,Whether the player voluntarily went all in ,bool
count_player_raises,0,The number of raises the player made ,tiny_int+
count_player_calls,0,The number of calls the player made ,tiny_int+
count_faced_limps,0,The number of limps the player faced ,tiny_int+
actions_sequence,,The sequence of actions the player made ,ActionsSequence
amount_effective_stack,0,The effective stack the player had ,decimal_15_2
amount_to_call_facing_1bet,0,The amount the player had to call facing the  big blind,decimal_15_2
amount_to_call_facing_2bet,0,The amount the player had to call facing the  2bet,decimal_15_2
amount_to_call_facing_3bet,0,The amount the player had to call facing the  3bet,decimal_15_2
amount_to_call_facing_4bet,0,The amount the player had to call facing the  4bet,decimal_15_2
amount_first_raise_made,0,The amount the player used on his first raise ,decimal_15_2
amount_second_raise_made,0,The amount the player used on his second raise ,decimal_15_2
ratio_to_call_facing_1bet,0,The ratio of the pot the player had to call facing the bb,decimal_10_5
ratio_to_call_facing_2bet,0,The ratio of the pot the player had to call facing the  2bet,decimal_10_5
ratio_to_call_facing_3bet,0,The ratio of the pot the player had to call facing the  3bet,decimal_10_5
ratio_to_call_facing_4bet,0,The ratio of the pot the player had to call facing the  4bet,decimal_10_5
ratio_first_raise_made,0,The ratio of the pot the player used on his first raise ,decimal_10_5
ratio_second_raise_made,0,The ratio of the pot the player used on his second raise ,decimal_10_5
total_bet_amount,0,The total amount the player bet ,decimal_15_2
move_facing_2bet,,The move the player did when facing a 2bet,ActionMove
move_facing_3bet,,The move the player did when facing a 3bet,ActionMove
move_facing_4bet,,The move the player did when facing a 4bet,ActionMove
move_facing_squeeze,,The move the player did when facing a squeeze,ActionMove
move_facing_steal_attempt,,The move the player did when facing a steal attempt,ActionMove
